iter	Logloss
0	0.5096827389
1	0.4175592456
2	0.3585208784
3	0.3260573937
4	0.3027375115
5	0.2803899444
6	0.2672744111
7	0.2565764592
8	0.2499727088
9	0.2441947506
10	0.2396191913
11	0.2340082488
12	0.2304820734
13	0.2267917226
14	0.2238608563
15	0.2222560314
16	0.2207842298
17	0.2192480518
18	0.2177384123
19	0.2132461208
20	0.2122151475
21	0.2118015982
22	0.2109785163
23	0.209971053
24	0.2085277246
25	0.2081444082
26	0.2068261493
27	0.2061463931
28	0.2055457895
29	0.2043026433
30	0.2036896345
31	0.2024462801
32	0.2019326755
33	0.2015550533
34	0.2002430619
35	0.1998534711
36	0.1994308216
37	0.1984094888
38	0.1980073994
39	0.1976321193
40	0.1971987239
41	0.1967146539
42	0.1965110865
43	0.196248422
44	0.1955480562
45	0.1950736648
46	0.1947514059
47	0.1944184818
48	0.1941282736
49	0.1935649106
50	0.1929173301
51	0.1919852083
52	0.1914781885
53	0.1912212058
54	0.1908625767
55	0.1905142909
56	0.1902338114
57	0.1896595314
58	0.1892897841
59	0.1887440389
60	0.1883711487
61	0.1880794402
62	0.1875230147
63	0.1870713986
64	0.186197013
65	0.1858613657
66	0.1853535915
67	0.1845185794
68	0.1839937343
69	0.1833882986
70	0.1832154663
71	0.1827110917
72	0.1824671575
73	0.181560133
74	0.1813611134
75	0.1807934222
76	0.1805819655
77	0.1800371901
78	0.1793041915
79	0.1789743207
80	0.1786485232
81	0.1779637221
82	0.1776030259
83	0.1773011484
84	0.1769181863
85	0.1766239614
86	0.1763049584
87	0.1758836921
88	0.1752899476
89	0.1747918188
90	0.1743757026
91	0.1741778419
92	0.1738190048
93	0.1736849258
94	0.173407725
95	0.1729738509
96	0.172750713
97	0.1723201374
98	0.1720985144
99	0.1718473817
100	0.171411335
101	0.1710680575
102	0.1709022677
103	0.1705168695
104	0.1701151891
105	0.1696435254
106	0.169395777
107	0.1690659604
108	0.1687250267
109	0.1684714107
110	0.1683246681
111	0.1679864168
112	0.1676937835
113	0.1672657884
114	0.1669450527
115	0.1666646149
116	0.1664694081
117	0.166123892
118	0.1657896139
119	0.1652709627
120	0.1649501704
121	0.1646397499
122	0.164227356
123	0.1640209156
124	0.1637320786
125	0.1634553295
126	0.1630258568
127	0.16278714
128	0.1625651088
129	0.1620538809
130	0.1616706171
131	0.1614182962
132	0.1612446695
133	0.1609834602
134	0.1606605578
135	0.1605072183
136	0.1601581322
137	0.1598363549
138	0.1594415455
139	0.1592055885
140	0.1590288408
141	0.1585637188
142	0.1580853461
143	0.1579193327
144	0.1576693303
145	0.1574548486
146	0.1571643656
147	0.1569296877
148	0.156873386
149	0.156684054
150	0.1562301389
151	0.1559913545
152	0.155591504
153	0.1551822579
154	0.1549510557
155	0.1548129618
156	0.1546706652
157	0.1543789283
158	0.1540430342
159	0.1537387981
160	0.1531185018
161	0.1529292738
162	0.1524233048
163	0.1521954718
164	0.1520146826
165	0.1517456844
166	0.1515331283
167	0.1512890646
168	0.1511426226
169	0.1509089723
170	0.150699174
171	0.150466427
172	0.1501992751
173	0.1499723451
174	0.149664956
175	0.1495519815
176	0.1493409124
177	0.1491911877
178	0.1490158854
179	0.1487778728
180	0.1485369598
181	0.1482207921
182	0.1480000562
183	0.1477029905
184	0.1473684568
185	0.1471318166
186	0.147004845
187	0.1467530491
188	0.1462776418
189	0.1461086954
190	0.1458135909
191	0.1455212105
192	0.1452808726
193	0.1450660616
194	0.1447365159
195	0.1445918116
196	0.1444678579
197	0.1442984771
198	0.14411624
199	0.143634532
200	0.1435135356
201	0.1432750132
202	0.142850692
203	0.1425956664
204	0.1423901937
205	0.1421322756
206	0.1419807824
207	0.141960875
208	0.1417725523
209	0.1415472464
210	0.141286489
211	0.1411711125
212	0.1409478622
213	0.1409060179
214	0.1407147663
215	0.1404388519
216	0.14016329
217	0.1399868884
218	0.1398189525
219	0.1396139627
220	0.139454073
221	0.1392033049
222	0.1389413362
223	0.1387853195
224	0.1386223231
225	0.1385090648
226	0.1383703844
227	0.138170676
228	0.1379387173
229	0.1376979466
230	0.1374192786
231	0.1372568817
232	0.1370459975
233	0.136965957
234	0.1367372272
235	0.1363698997
236	0.1361726588
237	0.1359468431
238	0.1357789595
239	0.1354886728
240	0.1353153203
241	0.1351571744
242	0.134932178
243	0.1347588774
244	0.1346003229
245	0.1344636318
246	0.1343058878
247	0.1341395162
248	0.1340032005
249	0.1337743487
250	0.1336084598
251	0.1333625613
252	0.1332500279
253	0.1330343645
254	0.1329228465
255	0.1321949204
256	0.1319975785
257	0.1318975941
258	0.1315882742
259	0.1314652417
260	0.1313547194
261	0.1311663117
262	0.1310294004
263	0.1310039953
264	0.1308455898
265	0.1307239407
266	0.1305905005
267	0.1304696909
268	0.1302104277
269	0.13011111
270	0.1299193679
271	0.1295991225
272	0.1295640261
273	0.1294458731
274	0.12923707
275	0.1290002985
276	0.1286926675
277	0.1285482093
278	0.1285204519
279	0.1284004641
280	0.1282842402
281	0.1281758118
282	0.1280380577
283	0.1278981888
284	0.1277419043
285	0.1275701123
286	0.1274320954
287	0.1272404242
288	0.1272089015
289	0.1269429746
290	0.1267331529
291	0.1264458889
292	0.1262522172
293	0.1260067259
294	0.125718406
295	0.1256180014
296	0.1253664013
297	0.1251237188
298	0.1250034027
299	0.1247822585
