iter	Passed	Remaining
0	5	1702
1	10	1535
2	15	1534
3	20	1535
4	26	1540
5	32	1572
6	37	1577
7	41	1531
8	46	1515
9	51	1494
10	56	1474
11	60	1456
12	65	1439
13	69	1419
14	74	1407
15	79	1416
16	85	1416
17	89	1408
18	94	1404
19	100	1401
20	105	1402
21	110	1398
22	115	1396
23	120	1389
24	125	1384
25	130	1380
26	135	1374
27	140	1365
28	145	1358
29	150	1353
30	155	1347
31	161	1349
32	166	1348
33	171	1343
34	176	1337
35	182	1334
36	187	1334
37	193	1336
38	199	1338
39	206	1340
40	212	1345
41	219	1346
42	225	1349
43	232	1353
44	240	1362
45	248	1370
46	255	1375
47	264	1388
48	272	1393
49	283	1416
50	294	1437
51	304	1453
52	332	1548
53	342	1558
54	349	1555
55	356	1555
56	364	1555
57	374	1562
58	385	1574
59	395	1580
60	404	1583
61	413	1585
62	423	1592
63	431	1592
64	440	1594
65	450	1598
66	462	1610
67	471	1610
68	479	1606
69	488	1605
70	497	1603
71	505	1599
72	513	1597
73	522	1594
74	529	1588
75	536	1580
76	542	1572
77	549	1563
78	555	1554
79	561	1544
80	568	1536
81	574	1528
82	580	1518
83	587	1510
84	593	1502
85	600	1493
86	606	1484
87	613	1477
88	619	1469
89	627	1463
90	634	1456
91	641	1449
92	647	1442
93	654	1434
94	661	1427
95	668	1421
96	675	1414
97	682	1406
98	689	1399
99	695	1391
100	702	1384
101	709	1377
102	716	1370
103	724	1364
104	731	1359
105	740	1355
106	748	1349
107	756	1344
108	764	1339
109	785	1356
110	805	1371
111	828	1390
112	933	1544
113	957	1561
114	965	1552
115	972	1542
116	979	1532
117	997	1538
118	1013	1541
119	1027	1541
120	1035	1531
121	1041	1519
122	1051	1513
123	1060	1504
124	1070	1498
125	1079	1490
126	1087	1481
127	1100	1478
128	1110	1472
129	1124	1469
130	1132	1460
131	1140	1450
132	1148	1442
133	1156	1432
134	1165	1424
135	1172	1414
136	1180	1405
137	1187	1394
138	1196	1385
139	1203	1375
140	1211	1366
141	1218	1356
142	1225	1345
143	1232	1335
144	1239	1324
145	1246	1314
146	1253	1304
147	1260	1294
148	1266	1283
149	1273	1273
150	1279	1262
151	1285	1252
152	1292	1241
153	1299	1231
154	1305	1221
155	1311	1210
156	1318	1200
157	1324	1190
158	1331	1180
159	1337	1170
160	1344	1160
161	1350	1150
162	1358	1141
163	1364	1131
164	1371	1122
165	1378	1112
166	1384	1102
167	1391	1093
168	1397	1083
169	1404	1073
170	1411	1064
171	1418	1055
172	1426	1047
173	1433	1038
174	1441	1029
175	1449	1021
176	1456	1012
177	1463	1003
178	1471	994
179	1478	985
180	1485	976
181	1492	967
182	1500	959
183	1507	950
184	1516	942
185	1524	934
186	1532	926
187	1540	917
188	1547	909
189	1555	900
190	1563	892
191	1571	883
192	1578	875
193	1586	866
194	1593	858
195	1599	848
196	1606	839
197	1612	830
198	1619	821
199	1625	812
200	1632	803
201	1638	794
202	1644	786
203	1651	777
204	1658	768
205	1664	759
206	1671	750
207	1677	741
208	1683	732
209	1689	723
210	1695	715
211	1701	706
212	1707	697
213	1713	688
214	1719	679
215	1725	671
216	1731	662
217	1738	653
218	1744	645
219	1750	636
220	1756	627
221	1763	619
222	1769	611
223	1775	602
224	1781	593
225	1788	585
226	1794	577
227	1800	568
228	1806	560
229	1812	551
230	1819	543
231	1825	535
232	1830	526
233	1835	517
234	1840	509
235	1846	500
236	1851	492
237	1856	483
238	1861	475
239	1867	466
240	1873	458
241	1879	450
242	1885	442
243	1891	434
244	1898	426
245	1903	417
246	1910	409
247	1916	401
248	1922	393
249	1927	385
250	1932	377
251	1938	369
252	1943	361
253	1949	353
254	1955	345
255	1961	337
256	1967	329
257	1973	321
258	1980	313
259	1986	305
260	1991	297
261	1997	289
262	2003	281
263	2010	274
264	2016	266
265	2024	258
266	2031	251
267	2038	243
268	2047	235
269	2054	228
270	2061	220
271	2070	213
272	2078	205
273	2085	197
274	2092	190
275	2098	182
276	2104	174
277	2110	167
278	2117	159
279	2123	151
280	2129	143
281	2135	136
282	2143	128
283	2149	121
284	2157	113
285	2163	105
286	2169	98
287	2175	90
288	2181	83
289	2187	75
290	2194	67
291	2200	60
292	2206	52
293	2212	45
294	2218	37
295	2225	30
296	2231	22
297	2238	15
298	2244	7
299	2252	0
