iter	Logloss
0	0.6518416547
1	0.6141604765
2	0.5825958689
3	0.5531177544
4	0.527116577
5	0.5028939989
6	0.4804832341
7	0.4598075128
8	0.4447951575
9	0.4301670552
10	0.4161451356
11	0.4033576958
12	0.3925799785
13	0.3814911052
14	0.3707129245
15	0.3613962214
16	0.3535750518
17	0.3461545239
18	0.3387461457
19	0.3324737702
20	0.3262408417
21	0.3213248165
22	0.3165594013
23	0.3112135153
24	0.3063093498
25	0.3026193732
26	0.2972295944
27	0.2929776934
28	0.2896349791
29	0.2860199246
30	0.2836577466
31	0.28083772
32	0.2777436461
33	0.2755190251
34	0.2737832786
35	0.270745839
36	0.2686935175
37	0.2671299926
38	0.2651260211
39	0.2631276691
40	0.2617173445
41	0.2598298291
42	0.2580929472
43	0.2571857351
44	0.2550884731
45	0.2536612279
46	0.2524221587
47	0.251587904
48	0.2505937522
49	0.2484190412
50	0.2475489017
51	0.245760728
52	0.2450602004
53	0.2441487895
54	0.2430171603
55	0.2426050942
56	0.2417316093
57	0.2407453462
58	0.2400643119
59	0.2392351776
60	0.2387882574
61	0.238370997
62	0.2379518279
63	0.237419449
64	0.2364978966
65	0.236002326
66	0.2352782501
67	0.234516751
68	0.2342726941
69	0.2329418179
70	0.232201338
71	0.2318501223
72	0.2313155393
73	0.2308100098
74	0.2304302605
75	0.2299775129
76	0.2295098226
77	0.2281599716
78	0.2278975627
79	0.2274608013
80	0.22673449
81	0.2263784428
82	0.226105811
83	0.2258342313
84	0.2256461639
85	0.2254248419
86	0.224807257
87	0.2242559914
88	0.2233022912
89	0.2230006357
90	0.2228366142
91	0.222681468
92	0.2219602821
93	0.2217857304
94	0.2212121386
95	0.2208865724
96	0.2207519533
97	0.2205028673
98	0.2202207585
99	0.220035345
100	0.2197704536
101	0.2195761177
102	0.2194841144
103	0.2193567491
104	0.2188872492
105	0.2185552063
106	0.2183332841
107	0.2181043461
108	0.2177789774
109	0.2176557993
110	0.2174281284
111	0.2173140598
112	0.2170504962
113	0.2165364817
114	0.216399298
115	0.2162253776
116	0.2161004871
117	0.2159517538
118	0.2157878463
119	0.2156535933
120	0.2155832085
121	0.2154249157
122	0.2153308475
123	0.215145184
124	0.2149570026
125	0.2139976348
126	0.2138890851
127	0.2137420801
128	0.2135671366
129	0.2134156485
130	0.2132825615
131	0.2131611336
132	0.213016983
133	0.2127451369
134	0.2124653981
135	0.2122494702
136	0.2119619873
137	0.2117388904
138	0.2115719797
139	0.2107609109
140	0.2104831191
141	0.2102981513
142	0.2101456031
143	0.2100614647
144	0.2098427292
145	0.2096527675
146	0.2095512587
147	0.2091515298
148	0.2090687717
149	0.2089911922
150	0.2088163107
151	0.2087250742
152	0.2083562108
153	0.2081797339
154	0.2081305121
155	0.2080215389
156	0.2077150875
157	0.2075825249
158	0.207498271
159	0.207267706
160	0.2066586014
161	0.2065276948
162	0.2063252233
163	0.2062037358
164	0.206128002
165	0.2060871127
166	0.2059950469
167	0.2058756712
168	0.2052963407
169	0.2049171375
170	0.2047948254
171	0.2045515934
172	0.2044985766
173	0.2043686909
174	0.2041001081
175	0.20399743
176	0.2038933964
177	0.2038327041
178	0.2037129943
179	0.2036315368
180	0.2035300179
181	0.203326309
182	0.2032384144
183	0.2031505672
184	0.202840327
185	0.202530599
186	0.2022407879
187	0.2021072241
188	0.2020299799
189	0.2019468006
190	0.2018363408
191	0.2015365689
192	0.2013812688
193	0.2012646616
194	0.2011278766
195	0.2010116254
196	0.2008643292
197	0.2007977398
198	0.2007031082
199	0.2004468214
200	0.200170312
201	0.2000047914
202	0.1998182362
203	0.1997524511
204	0.1995786499
205	0.1994694996
206	0.1992662335
207	0.1992019204
208	0.1989842254
209	0.1988906705
210	0.1986742822
211	0.1984656129
212	0.1983828502
213	0.1982696086
214	0.1981594068
215	0.1980509199
216	0.1979331576
217	0.197831162
218	0.1977358399
219	0.1976782183
220	0.1975909388
221	0.1974635159
222	0.1973580093
223	0.1972830725
224	0.1972050394
225	0.1970567721
226	0.1970057808
227	0.1968072721
228	0.1966822032
229	0.1966115534
230	0.1962889261
231	0.1961962949
232	0.1959592724
233	0.1958374203
234	0.1957071648
235	0.1955982289
236	0.1955425133
237	0.1953417075
238	0.1952606431
239	0.1951562228
240	0.1950799325
241	0.1949402778
242	0.1948767178
243	0.1947672258
244	0.1947081012
245	0.1946086134
246	0.1944765621
247	0.1944036219
248	0.1942470018
249	0.1941701864
250	0.1941200751
251	0.1940473858
252	0.1938919997
253	0.1936588005
254	0.1930924646
255	0.1930050914
256	0.1929459053
257	0.192521589
258	0.1924314533
259	0.1923490176
260	0.1918720362
261	0.1916269354
262	0.1914748536
263	0.1913806616
264	0.1912232825
265	0.191096931
266	0.1910362898
267	0.1906240023
268	0.1905226948
