iter	Passed	Remaining
0	9	9380
1	14	7186
2	18	6208
3	22	5657
4	27	5432
5	31	5218
6	36	5162
7	40	5013
8	44	4896
9	48	4782
10	52	4696
11	56	4630
12	60	4584
13	64	4534
14	68	4509
15	72	4483
16	77	4504
17	82	4480
18	86	4462
19	90	4449
20	95	4449
21	100	4448
22	104	4456
23	109	4435
24	113	4415
25	117	4407
26	122	4406
27	126	4393
28	131	4395
29	135	4377
30	139	4372
31	144	4378
32	149	4391
33	154	4401
34	160	4423
35	165	4418
36	169	4402
37	173	4401
38	179	4426
39	185	4440
40	189	4435
41	195	4463
42	200	4460
43	205	4454
44	210	4460
45	214	4450
46	219	4456
47	224	4450
48	229	4461
49	233	4442
50	238	4432
51	243	4431
52	247	4423
53	251	4413
54	256	4410
55	261	4405
56	265	4390
57	269	4380
58	274	4375
59	278	4360
60	282	4348
61	286	4334
62	290	4323
63	294	4311
64	298	4299
65	302	4286
66	307	4277
67	311	4268
68	315	4256
69	319	4246
70	323	4236
71	328	4230
72	332	4220
73	336	4209
74	340	4199
75	344	4191
76	348	4182
77	353	4179
78	358	4174
79	362	4164
80	365	4152
81	370	4143
82	374	4136
83	378	4127
84	382	4116
85	386	4106
86	390	4098
87	394	4090
88	398	4080
89	402	4071
90	406	4062
91	410	4055
92	414	4046
93	419	4042
94	424	4045
95	428	4036
96	432	4030
97	437	4024
98	441	4016
99	445	4007
100	449	3999
101	453	3992
102	457	3985
103	461	3979
104	466	3973
105	470	3968
106	474	3963
107	479	3956
108	483	3948
109	487	3944
110	491	3936
111	495	3930
112	499	3923
113	504	3920
114	508	3913
115	512	3907
116	516	3899
117	521	3894
118	525	3890
119	529	3881
120	533	3876
121	538	3874
122	543	3874
123	547	3866
124	552	3867
125	557	3867
126	561	3860
127	565	3855
128	570	3852
129	575	3853
130	579	3846
131	584	3843
132	589	3843
133	594	3843
134	599	3844
135	605	3843
136	609	3841
137	613	3834
138	618	3831
139	635	3905
140	669	4077
141	694	4194
142	708	4246
143	714	4248
144	719	4244
145	724	4238
146	728	4227
147	733	4219
148	738	4216
149	742	4206
150	746	4198
151	752	4195
152	756	4188
153	760	4179
154	765	4173
155	770	4168
156	774	4158
157	778	4149
158	783	4142
159	788	4137
160	792	4129
161	796	4120
162	802	4119
163	806	4110
164	810	4101
165	814	4093
166	819	4088
167	823	4080
168	827	4071
169	832	4066
170	838	4064
171	843	4058
172	847	4051
173	852	4047
174	856	4038
175	860	4030
176	865	4024
177	870	4019
178	874	4011
179	878	4001
180	883	3996
181	888	3991
182	892	3983
183	896	3977
184	901	3972
185	906	3965
186	910	3956
187	914	3951
188	919	3945
189	923	3938
190	928	3930
191	932	3925
192	936	3917
193	941	3911
194	945	3904
195	950	3897
196	954	3890
197	958	3881
198	962	3873
199	966	3866
200	970	3857
201	974	3850
202	979	3846
203	983	3837
204	987	3830
205	991	3822
206	996	3816
207	1000	3807
208	1004	3800
209	1008	3792
210	1012	3785
211	1016	3778
212	1020	3770
213	1025	3766
214	1031	3765
215	1035	3758
216	1042	3760
217	1047	3757
218	1052	3752
219	1056	3746
220	1061	3742
221	1066	3736
222	1071	3731
223	1075	3726
224	1081	3724
225	1085	3718
226	1090	3714
227	1096	3712
228	1101	3709
229	1106	3703
230	1111	3700
231	1117	3698
232	1122	3694
233	1129	3697
234	1136	3699
235	1143	3701
236	1150	3703
237	1158	3709
238	1167	3717
239	1173	3716
240	1180	3717
241	1185	3714
242	1191	3710
243	1196	3707
244	1201	3701
245	1205	3695
246	1210	3689
247	1215	3685
248	1219	3677
249	1223	3670
250	1228	3665
251	1233	3660
252	1237	3654
253	1242	3648
254	1246	3642
255	1251	3635
256	1255	3629
257	1260	3624
258	1264	3618
259	1269	3612
260	1273	3606
261	1279	3603
262	1283	3596
263	1287	3590
264	1292	3584
265	1297	3579
266	1301	3573
267	1306	3567
268	1311	3563
269	1315	3557
270	1320	3552
271	1326	3549
272	1331	3545
273	1337	3542
274	1342	3539
275	1346	3532
276	1351	3527
277	1356	3522
278	1360	3516
279	1365	3511
280	1370	3506
281	1375	3502
282	1380	3496
283	1384	3491
284	1389	3484
285	1393	3480
286	1399	3476
287	1404	3471
288	1408	3466
289	1413	3460
